Unnamed: 0,names,id,url,mean_valence,mean_danceability,mean_energy,mean_acousticness,mean_speechiness,mean_instrumentalness,med_valence,med_danceability,med_energy,med_acousticness,med_speechiness,med_instrumentalness,sd_valence,sd_danceability,sd_energy,sd_speechiness,sd_instrumentalness,quant1_danceability,quant1_energy,quant1_acousticness,quant1_speechiness,quant1_instrumentalness,quant3_danceability,quant3_energy,quant3_acousticness,quant3_speechiness,quant3_instrumentalness,mean_popularity,med_popularity,sd_popularity,quant1_popularity,quant3_popularity
787,#FlashbackFriday,2dWfCGZguakRQagX7wM6Mi,https://open.spotify.com/playlist/2dWfCGZguakRQagX7wM6Mi,0.57444,0.64952,0.671996,0.152273428,0.079658,0.0026104572,0.5615,0.646,0.6845,0.09435,0.0376,8.8e-07,0.244047934401655,0.127647192347837,0.171849176825233,0.0909936353235091,0.0110157862087485,0.59325,0.5415,0.023525,0.03025,0.0,0.73975,0.80775,0.2015,0.08315,0.00010805,59.5,59.0,11.5090913487325,53.0,67.75
788,Amped up.,0kVaFpvoi0O4IbyJyEZckU,https://open.spotify.com/playlist/0kVaFpvoi0O4IbyJyEZckU,0.5331,0.472286,0.82577,0.0467938268,0.066199,0.0984241885,0.5465,0.484,0.87,0.005165,0.05145,0.003415,0.202654231077807,0.142822591809955,0.122839622387415,0.046647094369653,0.225895710051885,0.396,0.74775,0.000412,0.03905,4.0175e-05,0.5765,0.91025,0.036425,0.07075,0.043725,39.74,39.0,22.0021211098688,20.0,60.5
789,The New Standards,5ahhg3aywppGeJs8tXvZOo,https://open.spotify.com/playlist/5ahhg3aywppGeJs8tXvZOo,0.4094,0.5106,0.35642,0.665972,0.05474,0.0152205876,0.433,0.544,0.357,0.683,0.0412,0.000227,0.219022259142764,0.14643599284329,0.165866392014778,0.0399742312829986,0.0483677150904602,0.42,0.254,0.565,0.0337,1.18e-05,0.597,0.423,0.829,0.0619,0.00109,39.44,41.0,16.9732141917788,29.0,55.0
790,Up & Out,2udwObkzQEPQWbUi95SzGM,https://open.spotify.com/playlist/2udwObkzQEPQWbUi95SzGM,0.437772727272727,0.543181818181818,0.668681818181818,0.208142045454545,0.0436636363636364,0.0426723590909091,0.436,0.539,0.671,0.1155,0.03485,4.415e-05,0.14099980811138,0.131362688173453,0.140819163456317,0.0208478512186005,0.191407129338308,0.4775,0.5395,0.0287,0.031375,3.025e-07,0.6615,0.77175,0.30975,0.044375,0.00037225,55.6363636363636,57.5,16.6090779955262,42.25,67.5
791,Acoustic Grit,37i9dQZF1DXaiAJKcabR16,https://open.spotify.com/playlist/37i9dQZF1DXaiAJKcabR16,0.409916666666667,0.5154,0.431226666666667,0.559892833333333,0.05382,0.105264058166667,0.376,0.506,0.419,0.6625,0.04055,0.0002815,0.197841855322665,0.134104714966593,0.210231340586916,0.038210109586028,0.240998306055727,0.406,0.2805,0.31275,0.0326,1.9375e-06,0.6035,0.57825,0.8205,0.0519,0.05125,40.7166666666667,38.0,12.3385734783331,33.0,47.25
792,Take it Easy,3vnx7BaCl3YmHrg3WGLedp,https://open.spotify.com/playlist/3vnx7BaCl3YmHrg3WGLedp,0.410968421052632,0.522431578947368,0.468752631578947,0.424280968421053,0.0347031578947368,0.0624776265263158,0.365,0.521,0.468,0.4,0.0321,0.000669,0.205375272633252,0.102712639077203,0.195477278345551,0.0098187776315044,0.152294918030538,0.4445,0.3405,0.1685,0.02865,5.94e-06,0.585,0.568,0.6975,0.0377,0.0339,33.9263157894737,35.0,16.3526574750088,22.0,48.0
793,Nordic Folk,37i9dQZF1DX4jUyNIMkj6N,https://open.spotify.com/playlist/37i9dQZF1DX4jUyNIMkj6N,0.286163333333333,0.487266666666667,0.333493333333333,0.689629833333333,0.03297,0.0907129536666667,0.2475,0.5015,0.3065,0.793,0.03205,0.0008585,0.163628694974962,0.128001041662428,0.159799321042518,0.0047207547514914,0.226522508376026,0.39975,0.21675,0.5475,0.02935,6.135e-05,0.586,0.42275,0.89625,0.036825,0.022675,36.15,34.0,10.8093258542672,30.0,44.0
794,Britfolk,5XyoROE7WrTHtvcwFrhzO1,https://open.spotify.com/playlist/5XyoROE7WrTHtvcwFrhzO1,0.339546666666667,0.507466666666667,0.370666666666667,0.7438,0.03736,0.0767763046666667,0.333,0.483,0.372,0.798,0.0347,0.000325,0.179737657500618,0.142950474274268,0.158472920925522,0.0104991020024163,0.160303902724608,0.4105,0.2655,0.6955,0.0313,4.505e-05,0.623,0.4885,0.877,0.0402,0.0638,38.0666666666667,42.0,19.6594821420921,31.0,51.5
795,Morning Rituals,7iJKTAmd5aP1opVYLB3XJ4,https://open.spotify.com/playlist/7iJKTAmd5aP1opVYLB3XJ4,0.336629411764706,0.495117647058824,0.373262745098039,0.653296274509804,0.0363,0.0795553092156863,0.326,0.519,0.368,0.755,0.0339,0.00275,0.169967015969708,0.126875001014199,0.192835911552578,0.0125256217410554,0.160349627318185,0.3905,0.2125,0.3975,0.03055,0.0001104,0.5755,0.47,0.8925,0.03785,0.05945,45.2941176470588,47.0,18.6582894367593,36.0,61.0
796,#MakeitHappen,5sty33UvgJZzeyfocoOaUV,https://open.spotify.com/playlist/5sty33UvgJZzeyfocoOaUV,0.530333333333333,0.6435,0.703866666666667,0.115886233333333,0.07444,0.0012176806666666,0.5585,0.6735,0.7075,0.03725,0.0458,5.12e-06,0.203742625562901,0.122925194522018,0.105743584898217,0.106234303830471,0.0052680832120905,0.552,0.64325,0.0084425,0.0373,0.0,0.72425,0.7845,0.15575,0.0637,0.000495875,63.2333333333333,65.5,13.8978622353455,58.25,71.75
797,Singing in the Shower...,5LtwydYUv9Um4D2toY3Wzh,https://open.spotify.com/playlist/5LtwydYUv9Um4D2toY3Wzh,0.496390243902439,0.638463414634146,0.678560975609756,0.115123829268293,0.0776390243902439,0.00082844,0.484,0.677,0.675,0.0544,0.0503,0.0,0.182435451331256,0.158136190917983,0.126145164152354,0.0913371881493206,0.0045243146134458,0.566,0.605,0.00882,0.0372,0.0,0.747,0.787,0.121,0.0824,6.07e-05,71.0,75.0,11.8194754536739,67.0,81.0
798,The Wilds,37i9dQZF1DWUDoJcM4v6Tm,https://open.spotify.com/playlist/37i9dQZF1DWUDoJcM4v6Tm,0.268922,0.5011,0.309701,0.7680982,0.036198,0.1067683441,0.236,0.501,0.286,0.8515,0.03205,0.005145,0.16503798618757,0.102268659851779,0.160896006626904,0.0149461456130625,0.218376927716914,0.429,0.1985,0.7005,0.029175,0.0001655,0.57075,0.39575,0.9275,0.038725,0.0786,45.05,43.0,9.96800436953712,37.0,52.0
799,Vintage Blues Folk,6zcjhNUkQ6taQK9hxhweCj,https://open.spotify.com/playlist/6zcjhNUkQ6taQK9hxhweCj,0.455583333333333,0.513041666666667,0.498172916666667,0.486011041666667,0.058675,0.113054986458333,0.4145,0.5085,0.511,0.473,0.04165,0.0002815,0.224911503478953,0.128111314352981,0.23050329460846,0.0460525855766847,0.262970907742785,0.40525,0.34575,0.1935,0.03315,4.195e-06,0.5915,0.68725,0.77725,0.055225,0.031225,36.375,34.5,15.0370110769281,31.75,46.25
800,Indie Ballads,0aXP5u51kHZiKvxkUPq0IL,https://open.spotify.com/playlist/0aXP5u51kHZiKvxkUPq0IL,0.305029824561403,0.490210526315789,0.434821052631579,0.620650877192982,0.0380701754385965,0.0584517031578947,0.205,0.51,0.42,0.732,0.0337,0.00218,0.21728917529816,0.130194598423462,0.210598826255753,0.0224215932665707,0.128772389166737,0.383,0.283,0.389,0.0294,2.05e-05,0.576,0.613,0.922,0.0384,0.0512,35.8771929824561,29.0,18.537674163943,23.0,51.0
