,names,description,url,id,image,public
876,Music Lessons with Pete Seeger,Banjo and guitar lessons care of folk hero Pete Seeger.,https://open.spotify.com/playlist/37i9dQZF1DX1uHtdQ6c5H9,37i9dQZF1DX1uHtdQ6c5H9,https://i.scdn.co/image/ab67706f0000000361ff857a83bdd16f71111da1,True
877,Yoga Acoustics,"Set your intentions and guide your practice with these mindful, meditative lyrics.",https://open.spotify.com/playlist/37i9dQZF1DWUPAFOWtSz6P,37i9dQZF1DWUPAFOWtSz6P,https://i.scdn.co/image/ab67706f000000031982d81875d8ddebf008f45d,True
878,Beyond the Music,"Go beyond the music with audio documentaries, rare interviews, and behind the scenes biographies of famous and influential artists and bands.",https://open.spotify.com/playlist/01WIu4Rst0xeZnTunWxUL7,01WIu4Rst0xeZnTunWxUL7,https://mosaic.scdn.co/640/ab67616d0000b273533e0f2340dd864170d0035dab67616d0000b273cd32d86533dcfc4d9221b33bab67616d0000b273d014956a77e6c7d9a5fba67aab67616d0000b273d10854fcf5267c5dabde3889,True
879,Irish Studies,"The best of Irish history, poetry, and prose.",https://open.spotify.com/playlist/37i9dQZF1DX3HTCmWbhewZ,37i9dQZF1DX3HTCmWbhewZ,https://i.scdn.co/image/ab67706f000000036715650d8f4302015b71f0fc,True
880,Learn Swedish,Learn some essential Swedish and master useful travel vocabulary in under seven hours – perfect for a transatlantic flight!,https://open.spotify.com/playlist/37i9dQZF1DX1QCg8MO15wF,37i9dQZF1DX1QCg8MO15wF,https://i.scdn.co/image/20568c7e3757f360bc2a8b18345bbabe969de539,True
881,Learn French,Learn French with a collection of audio courses that will take you from beginner lessons to advanced conversations and even French literature appreciation.,https://open.spotify.com/playlist/37i9dQZF1DWTJSgpZmw7H2,37i9dQZF1DWTJSgpZmw7H2,https://i.scdn.co/image/ab67706f000000037d726ee096864a2c17ca3fb0,True
882,Learn German,Learn German with a collection of audio courses that will take you from beginner to advanced conversations.,https://open.spotify.com/playlist/37i9dQZF1DWVrSKB2Pc3PY,37i9dQZF1DWVrSKB2Pc3PY,https://i.scdn.co/image/ab67706f000000038f5573a0131df7e365d26575,True
883,Learn Irish,"Learn some essential Irish and listen along to poetry, prose, and songs in Irish.",https://open.spotify.com/playlist/37i9dQZF1DWW6K9D6JN1rY,37i9dQZF1DWW6K9D6JN1rY,https://i.scdn.co/image/b7d231885f5ec817c4ea1d765de7ce46e4a3f7d2,True
884,Learn Italian,Learn Italian with a collection of audio courses that will take you from beginner lessons and travel necessities to advanced conversations.,https://open.spotify.com/playlist/37i9dQZF1DX0yHwYvqyUJQ,37i9dQZF1DX0yHwYvqyUJQ,https://i.scdn.co/image/ab67706f000000038cb1ac6445e9c80571d13897,True
885,Learn Portuguese,Listen & repeat... with over 8 hours of Portuguese instruction!,https://open.spotify.com/playlist/37i9dQZF1DX2SgxzTVd6bU,37i9dQZF1DX2SgxzTVd6bU,https://i.scdn.co/image/df7cf4dfcf461421460a815dae00e08a680a6c06,True
886,Learn Chinese,"Learn and practice your Chinese language skills, from basic vocabulary to useful travel phrases and conversations.",https://open.spotify.com/playlist/37i9dQZF1DX60lVXkfYly8,37i9dQZF1DX60lVXkfYly8,https://i.scdn.co/image/ec45be79ab01923273b957ea322ef7c65b03b254,True
887,Learn Russian,"Learn and practice your Russian language skills, from basic vocabulary to useful travel phrases and conversations.",https://open.spotify.com/playlist/37i9dQZF1DWSsCx004HXRd,37i9dQZF1DWSsCx004HXRd,https://i.scdn.co/image/ab67706f00000003d1585604ced9bae810a1da90,True
888,Top Arabic Hits - Yalla يلا,Top Arabic hits are right here. Cover: Mohamed Hamaki,https://open.spotify.com/playlist/37i9dQZF1DX5cO1uP1XC1g,37i9dQZF1DX5cO1uP1XC1g,https://i.scdn.co/image/ab67706f00000003de9c18610f6aee8aa56026ca,True
889,A Noam Chomsky Chronology,"Dive into the works of Noam Chomsky, beginning with his latest 2014 release, When Elites Fail.",https://open.spotify.com/playlist/37i9dQZF1DX8d1cgbQqKFy,37i9dQZF1DX8d1cgbQqKFy,https://i.scdn.co/image/ab67706f00000003c16dd1a697b462e2ab4e0631,True
890,Fright Fest,Don't spill your popcorn... these scary movie themes will scare the bejeezus out of you!,https://open.spotify.com/playlist/37i9dQZF1DX6dCTsdzLHOw,37i9dQZF1DX6dCTsdzLHOw,https://i.scdn.co/image/ab67706f00000003155f53afad56039c712e347b,True
