names,description,url,id,image,public
Swing Revival,It’s a swing thing.,https://open.spotify.com/playlist/37i9dQZF1DWYotlhbgVGaH,37i9dQZF1DWYotlhbgVGaH,https://i.scdn.co/image/ab67706f000000038c76ffe072f5f0e224a5426d,True
Best of Bebop,"Rapid changes, complex progressions and improvisation. So much improvisation.",https://open.spotify.com/playlist/37i9dQZF1DX6KyCRJzZneq,37i9dQZF1DX6KyCRJzZneq,https://i.scdn.co/image/ab67706f0000000384ad23063c0d76f66bb5d6a4,True
Brit-Blues,Blues with a British flavor. Cover: Robin Trower,https://open.spotify.com/playlist/37i9dQZF1DWWtGE7PB0aRR,37i9dQZF1DWWtGE7PB0aRR,https://i.scdn.co/image/ab67706f00000003816fe53f4f181922f742b336,True
Delta Blues,Born in the Mississippi Delta - at the turn of the 20th century - the Delta Blues is one of the earliest and most influential styles of blues.,https://open.spotify.com/playlist/37i9dQZF1DWSTHVqvNCwNq,37i9dQZF1DWSTHVqvNCwNq,https://i.scdn.co/image/ab67706f00000003653faa7cb223631aae5a3a1f,True
Chicago Blues,"Enjoy the electric, amplified sound that is Chicago Blues. ",https://open.spotify.com/playlist/37i9dQZF1DX4rGCw5bMNp1,37i9dQZF1DX4rGCw5bMNp1,https://i.scdn.co/image/ab67706f00000003b80f67b5785785767ca5b44b,True
Jump Blues,Where swing meets blues.,https://open.spotify.com/playlist/37i9dQZF1DX7nt6DdNdydo,37i9dQZF1DX7nt6DdNdydo,https://i.scdn.co/image/ab67706f00000003218790472bed95da7d093eb3,True
Lone Star Blues,Simply Texas blues at its best.,https://open.spotify.com/playlist/37i9dQZF1DXeaMD6NdSui3,37i9dQZF1DXeaMD6NdSui3,https://i.scdn.co/image/ab67706f000000035dc381ef5f6a1b86e9d7f3c4,True
Blue Ballads,"Soulful, bluesy ballads. Cover: Lizz Wright",https://open.spotify.com/playlist/37i9dQZF1DXdeoRwG5yUKg,37i9dQZF1DXdeoRwG5yUKg,https://i.scdn.co/image/ab67706f0000000315a0239539cecce2fb032aab,True
Live & Loud,Live blues. Cover: Joe Bonamassa,https://open.spotify.com/playlist/37i9dQZF1DWT1RLff7HxDm,37i9dQZF1DWT1RLff7HxDm,https://i.scdn.co/image/ab67706f000000037f28a8346ca5aa0a91c2406b,True
Country Drive,Country music to accompany your commute. Cover: Luke Combs,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB,37i9dQZF1DXdfhOsjRMISB,https://i.scdn.co/image/ab67706f00000003c52a9fd9c19b5e4a101301f7,True
Soul Food,Add some sweet soul music to your dinner. Cover: Joy Crookes.,https://open.spotify.com/playlist/37i9dQZF1DXd9dy0tcoQft,37i9dQZF1DXd9dy0tcoQft,https://i.scdn.co/image/ab67706f000000030cc1d785a5a22ee25fd955e8,True
Hours of Ours,"Beatiful, mellow jazz for romance",https://open.spotify.com/playlist/54LbSpjd64NjKPUyYAGkNU,54LbSpjd64NjKPUyYAGkNU,https://i.scdn.co/image/ab67706c0000bebb13f8277676d11ad42445bb62,True
Calming Jazz,Relaxing sounds of modern jazz.,https://open.spotify.com/playlist/37i9dQZF1DX0ZgPbUQ205W,37i9dQZF1DX0ZgPbUQ205W,https://i.scdn.co/image/ab67706f00000003dd0e2d89f40713482a03db45,True
Nu-Smooth,The freshest smooth jazz. Cover: Ragan Whiteside,https://open.spotify.com/playlist/37i9dQZF1DWTEbYi1zYy0Z,37i9dQZF1DWTEbYi1zYy0Z,https://i.scdn.co/image/ab67706f00000003cb02b7722e8fac874130742c,True
Changes,The shape of jazz today. Cover: James Francies,https://open.spotify.com/playlist/37i9dQZF1DWXIuW81skHVz,37i9dQZF1DWXIuW81skHVz,https://i.scdn.co/image/ab67706f000000032e86870a4f7d8409eb0cca1e,True
Indigo,A new shade of Country. Cover: Emily Scott Robinson,https://open.spotify.com/playlist/37i9dQZF1DWUgBy0IJPlHq,37i9dQZF1DWUgBy0IJPlHq,https://i.scdn.co/image/ab67706f000000035af3e07b19797cb762ad3d8e,True
Heartland Country,Music paying tribute to the Heartland of America.,https://open.spotify.com/playlist/37i9dQZF1DX5iKSDtVcf7Q,37i9dQZF1DX5iKSDtVcf7Q,https://i.scdn.co/image/ab67706f00000003ef88c66a5078a8e4d15f0cb8,True
Walk a Country Mile,Countrify your power walk,https://open.spotify.com/playlist/4p3lupatTubTWpTgCZjgpk,4p3lupatTubTWpTgCZjgpk,https://i.scdn.co/image/ab67706c0000bebbd1b8cd66bc941b4d817be3d3,True
Honeysuckle Lazy,,https://open.spotify.com/playlist/6tLfPD2P9syvBV8rgO2Yq1,6tLfPD2P9syvBV8rgO2Yq1,https://mosaic.scdn.co/640/ab67616d0000b2731eae4b4bee84c621dff76b32ab67616d0000b27362c58d405f2eac07b02f7fa7ab67616d0000b2738dcc712472338993f8819b7eab67616d0000b273f4d30787dde098d102690236,True
On to Something Good,,https://open.spotify.com/playlist/3FfBohQXFlgFnYubzrvoq4,3FfBohQXFlgFnYubzrvoq4,https://mosaic.scdn.co/640/ab67616d0000b2735c71180c30141d7c969f17bcab67616d0000b2738e59b1e8735f481a4374325eab67616d0000b273abab2f66eb55c055a7fd1941ab67616d0000b273b12576be2612c29a621513bf,True
Tailgate Party,The right music can make a good tailgate great. Cover:  Tim McGraw,https://open.spotify.com/playlist/37i9dQZF1DXdgnLr18vPvu,37i9dQZF1DXdgnLr18vPvu,https://i.scdn.co/image/ab67706f000000032a46b73c3d8c906627e746b3,True
Country Christmas,Celebrate the merriment of the Holiday Season with your favorite country artists.  Cover: Carrie Underwood,https://open.spotify.com/playlist/37i9dQZF1DX0MuOvUqmxDz,37i9dQZF1DX0MuOvUqmxDz,https://i.scdn.co/image/ab67706f00000003fbe4f82e448068edb3dc071b,True
Acoustic Blues,"Raw, emotional, and acoustic. Cover: Keb' Mo'",https://open.spotify.com/playlist/37i9dQZF1DX2iUghHXGIjj,37i9dQZF1DX2iUghHXGIjj,https://i.scdn.co/image/ab67706f0000000391b9191b087332fe87e0ec7f,True
Acoustic Concentration,Shut out the noise around you with these acoustic instrumentals.,https://open.spotify.com/playlist/37i9dQZF1DXcLDm348RRYK,37i9dQZF1DXcLDm348RRYK,https://i.scdn.co/image/ab67706f00000003b4e1685e74a864a149f634d5,True
All Funked Up,New funky songs with a classic funky sound.,https://open.spotify.com/playlist/37i9dQZF1DX4WgZiuR77Ef,37i9dQZF1DX4WgZiuR77Ef,https://i.scdn.co/image/ab67706f000000031ef7bd677c0a00cb77f1b6e3,True
Back to the Roots,"Classic folk, bluegrass, country blues, and spirituals, along with some recent songs that have a traditional vibe.",https://open.spotify.com/playlist/1S4JPQeJxtsN37X8as5EPk,1S4JPQeJxtsN37X8as5EPk,https://mosaic.scdn.co/640/ab67616d0000b2730343574603e6094988bfeddaab67616d0000b27369aca8a54ca5befe4b911d82ab67616d0000b273b3adf9b1706b05af854bbad4ab67616d0000b273c8f9434375ea01571d149eb2,True
Backyard Wedding,Sweet acoustic love songs for the perfect day.,https://open.spotify.com/playlist/37i9dQZF1DX4YLk1hHv7S9,37i9dQZF1DX4YLk1hHv7S9,https://i.scdn.co/image/ab67706f00000003070c12523091918af4fac7af,True
Big Band,"Big bands, big sounds.",https://open.spotify.com/playlist/37i9dQZF1DX6G7arXBXa3A,37i9dQZF1DX6G7arXBXa3A,https://i.scdn.co/image/ab67706f00000003978b67e2dce16fe7df5f2dc4,True
Beer 'n Burgers,Rockabilly and old school rock & roll—the perfect soundtrack to a night of beer and burgers.,https://open.spotify.com/playlist/7CHrwiytyubNpnaZqyyUkb,7CHrwiytyubNpnaZqyyUkb,https://i.scdn.co/image/ab67706c0000bebb4bcafd1debe5ecb2c4553faa,True
Bossa Nova,Enjoy the sweet rhythms of bossa nova - the perfect marriage of samba and jazz.,https://open.spotify.com/playlist/4LmOnbOmtMUyQQjo6L9mct,4LmOnbOmtMUyQQjo6L9mct,https://mosaic.scdn.co/640/ab67616d0000b27312aa19f45ef81df6b1566dd0ab67616d0000b2737ea651bea813d6ac69cbdf0dab67616d0000b273c80ee96a5a8bc925359240f1ab67616d0000b273e19e28d12fcb823c2f223754,True
Bottoms Up,Because bass. Cover: Victor Wooten,https://open.spotify.com/playlist/37i9dQZF1DX0N8QTiMHLoT,37i9dQZF1DX0N8QTiMHLoT,https://i.scdn.co/image/ab67706f000000036c3ffba3244ebb9683fa9bf5,True
Coffee Table Jazz,Relax to the sound of jazz.,https://open.spotify.com/playlist/37i9dQZF1DWVqfgj8NZEp1,37i9dQZF1DWVqfgj8NZEp1,https://i.scdn.co/image/ab67706f000000038df7fedfed909f10628586fe,True
Hot Club Swing,Django and beyond.,https://open.spotify.com/playlist/37i9dQZF1DXdDe8IDhRIo5,37i9dQZF1DXdDe8IDhRIo5,https://i.scdn.co/image/ab67706f0000000348d1bd1f3191f46ffea218a7,True
Nu-Blue,"All new, all blues. Cover: Samantha Fish",https://open.spotify.com/playlist/37i9dQZF1DXb3MZdETGqKB,37i9dQZF1DXb3MZdETGqKB,https://i.scdn.co/image/ab67706f000000032f7b79a61811c7d779eedff4,True
Funky Heavy Bluesy,"Blues, but funky. Or funk, but bluesy. Cover: Paulo Mendonça",https://open.spotify.com/playlist/37i9dQZF1DX9stbPFTxeaB,37i9dQZF1DX9stbPFTxeaB,https://i.scdn.co/image/ab67706f000000037d054551b6f81f04b5bd2f5f,True
Hard Rock,For the Hard Rock and full volume lovers. Cover: Billy Idol,https://open.spotify.com/playlist/37i9dQZF1DX1X7WV84927n,37i9dQZF1DX1X7WV84927n,https://i.scdn.co/image/ab67706f000000030834dd65b572fe99dd4f5deb,True
Classic Rock Drive,Classic rock to get your motor running.,https://open.spotify.com/playlist/37i9dQZF1DXdOEFt9ZX0dh,37i9dQZF1DXdOEFt9ZX0dh,https://i.scdn.co/image/ab67706f00000003a019090ff288b5a4aacac170,True
Blues Origins,Early blues standards and classics,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf,37i9dQZF1DXbkKnGZHv1kf,https://i.scdn.co/image/ab67706f00000003e8d2d867e32fdaa12aa79d57,True
Instrumental Funk,When the funk is just too funky for words to keep up.,https://open.spotify.com/playlist/37i9dQZF1DX8f5qTGj8FYl,37i9dQZF1DX8f5qTGj8FYl,https://i.scdn.co/image/ab67706f0000000396a4574244eb9faab52fd43f,True
Jazz for Autumn,Jazz that captures the essence of autumn.,https://open.spotify.com/playlist/37i9dQZF1DX7UE7qrnkvsf,37i9dQZF1DX7UE7qrnkvsf,https://i.scdn.co/image/ab67706f000000038425afaf63553e0ae4baed5b,True
Jazzy Dinner,Instrumental jazz to set the mood for a relaxed evening.,https://open.spotify.com/playlist/37i9dQZF1DWTALrdBtcXjw,37i9dQZF1DWTALrdBtcXjw,https://i.scdn.co/image/ab67706f00000003432b9260fc87afc5fcb09811,True
Jazzy Romance,Jazzy love songs. Cover: Melody Gardot,https://open.spotify.com/playlist/37i9dQZF1DWTbzY5gOVvKd,37i9dQZF1DWTbzY5gOVvKd,https://i.scdn.co/image/ab67706f00000003dca7c3e4dddd98cc126b46d6,True
Jazztronica,Where jazz meets electronic music. Cover: Daniel Hayn,https://open.spotify.com/playlist/37i9dQZF1DX55dNU0PWnO5,37i9dQZF1DX55dNU0PWnO5,https://i.scdn.co/image/ab67706f00000003c5064ce06df5175828cb017c,True
King of Pop,"As one of the most widely beloved entertainers of all-time, Michael Jackson made an unforgettable imprint on popular music. Here is a collection of some of his best tunes.",https://open.spotify.com/playlist/653U7cDBXXkPZ07Xk8kxL6,653U7cDBXXkPZ07Xk8kxL6,https://mosaic.scdn.co/640/ab67616d0000b2731bb21d27effb96a1d0fe8d6dab67616d0000b2734121faee8df82c526cbab2beab67616d0000b2737027294551db4fda68b5ddacab67616d0000b27386e5468d84ed66f06d9a799e,True
Legendary Guitar Solos,"Enjoy the most epic, electrifying, face-melting axe performances.",https://open.spotify.com/playlist/37i9dQZF1DWSlJG7YPUBHF,37i9dQZF1DWSlJG7YPUBHF,https://i.scdn.co/image/ab67706f000000034884cb67656061753bec1452,True
