names,id,url,mean_valence,med_valence,sd_valence,quant1_valence,quant3_valence,mean_danceability,med_danceability,sd_danceability,quant1_danceability,quant3_danceability,mean_energy,med_energy,sd_energy,quant1_energy,quant3_energy,mean_acousticness,med_acousticness,sd_acousticness,quant1_acousticness,quant3_acousticness,mean_speechiness,med_speechiness,sd_speechiness,quant1_speechiness,quant3_speechiness,mean_instrumentalness,med_instrumentalness,sd_instrumentalness,quant1_instrumentalness,quant3_instrumentalness
Creativity Boost,37i9dQZF1DX56qfiUZBncF,https://open.spotify.com/playlist/37i9dQZF1DX56qfiUZBncF,0.44750797101449274,0.511,0.20446536588969758,0.2685,0.5425,0.654086956521739,0.6775,0.12421781424606976,0.57475,0.761,0.566159420289855,0.525,0.13855712392166092,0.495,0.64475,0.37177043478260874,0.44,0.21934843550600872,0.17099999999999999,0.51425,0.08630072463768117,0.06420000000000001,0.08275387083488722,0.0391,0.0944,0.09796537195652175,0.0006905,0.23211379581859692,6.7e-06,0.0331
90s Acoustic,37i9dQZF1DXb9LIXaj5WhL,https://open.spotify.com/playlist/37i9dQZF1DXb9LIXaj5WhL,0.41904433497536947,0.388,0.2215673127162111,0.239,0.595,0.5025270935960592,0.519,0.11827704097042216,0.408,0.593,0.5290147783251231,0.574,0.2368866184032769,0.383,0.709,0.2878933408866995,0.165,0.31090265399940176,0.0425,0.467,0.034527093596059114,0.0329,0.010454010785865794,0.0284,0.0362,0.036447231280788174,4.87e-05,0.1319230902071821,2.37e-06,0.00117
Morning Acoustic,37i9dQZF1DXdd3gw5QVjt9,https://open.spotify.com/playlist/37i9dQZF1DXdd3gw5QVjt9,0.32479493670886067,0.332,0.1295412412886083,0.23,0.409,0.5280337552742616,0.546,0.11891229729920179,0.429,0.603,0.35417299578059075,0.327,0.16141123796767823,0.249,0.485,0.6814666666666666,0.774,0.2500423542653398,0.517,0.886,0.03800675105485232,0.0332,0.015677524828193103,0.0299,0.0387,0.08970939105485232,0.0029,0.2056479446572772,3.46e-05,0.0256
Acoustic Covers,37i9dQZF1DWXmlLSKkfdAk,https://open.spotify.com/playlist/37i9dQZF1DWXmlLSKkfdAk,0.30978686440677966,0.32,0.15286011807879252,0.178,0.41075,0.5140042372881356,0.534,0.12720181645569592,0.4295,0.605,0.24837627118644068,0.247,0.11859616561414289,0.15025,0.299,0.8097669491525424,0.858,0.16039344845488068,0.75625,0.911,0.04230381355932203,0.032799999999999996,0.029846609741383586,0.0308,0.0455,0.011386866398305084,0.0,0.07751626569954634,0.0,0.000201
Acoustic Cafe International,37i9dQZF1DX571ttkrxAeN,https://open.spotify.com/playlist/37i9dQZF1DX571ttkrxAeN,0.36517272727272726,0.364,0.17814145279913718,0.2425,0.4365,0.5325454545454545,0.55,0.14979415730357964,0.427,0.629,0.34250727272727277,0.34,0.16294316306790044,0.23149999999999998,0.46699999999999997,0.6996145454545455,0.827,0.2618481970589645,0.594,0.887,0.03911090909090909,0.0369,0.011846403935173163,0.02985,0.0436,0.01272343690909091,7.11e-05,0.04025734063404384,7.8e-07,0.008924999999999999
Disco Beats,0pHFNRP8qkYhal0q0Irp6D,https://open.spotify.com/playlist/0pHFNRP8qkYhal0q0Irp6D,0.8090106382978726,0.8394999999999999,0.13496311679997014,0.754,0.943,0.6898297872340426,0.702,0.10955281912597625,0.58325,0.77625,0.7464361702127662,0.7705,0.11549496646953354,0.681,0.85,0.13432323404255322,0.05445,0.15283130216880084,0.0288,0.234,0.051637234042553166,0.0428,0.031328890044286614,0.0343,0.050525,0.04223659531914893,0.000939,0.11579457822252416,0.00062,0.00871
Rock & Roots,7pD7pMFxcq8agMXqLQCggM,https://open.spotify.com/playlist/7pD7pMFxcq8agMXqLQCggM,0.5344943820224719,0.546,0.1922560510689459,0.409,0.69,0.513876404494382,0.571,0.13169185971121436,0.385,0.622,0.6672584269662921,0.669,0.17535603575232353,0.556,0.815,0.2240366853932584,0.156,0.22774092499196394,0.0406,0.284,0.048896629213483145,0.0352,0.029031598965759402,0.0301,0.0613,0.10607189764044944,0.00439,0.19171835490146763,1.75e-05,0.0868
Interstate Drive Songs,0XDRWlx2B1C1OXlaLlld8t,https://open.spotify.com/playlist/0XDRWlx2B1C1OXlaLlld8t,0.5809552238805971,0.604,0.21357345147944548,0.439,0.776,0.49005970149253736,0.494,0.13611034745660605,0.417,0.588,0.9036567164179106,0.927,0.05851639299940476,0.8745,0.943,0.0018833626865671646,0.00114,0.00491341965751546,0.000273,0.00244,0.06575373134328358,0.0582,0.03250918438225507,0.04415,0.0693,0.03353766970149254,0.00249,0.11563161939476961,1.0305e-05,0.0114
Low Key Revelry,67uEKAhAdvMJvumeC8ZgjB,https://open.spotify.com/playlist/67uEKAhAdvMJvumeC8ZgjB,0.35250000000000004,0.3665,0.09012768719988326,0.29100000000000004,0.428,0.42724999999999996,0.3835,0.1321221026172381,0.331,0.47975,0.605,0.639,0.1537010084547268,0.5765,0.6675,0.2118625,0.253,0.14383315203735195,0.1908625,0.274,0.034975000000000006,0.0361,0.0031763448595306318,0.03465,0.036425,0.23583999999999997,0.2925,0.16676984859380306,0.17234000000000002,0.356
Top Female Artists of 2016 - USA,37i9dQZF1DWWoCDtOBjhpE,https://open.spotify.com/playlist/37i9dQZF1DWWoCDtOBjhpE,0.45847499999999997,0.451,0.13981177392358474,0.38825,0.567,0.6293333333333333,0.6134999999999999,0.11022092579120131,0.573,0.725,0.6340833333333333,0.6005,0.13114630993638013,0.533,0.739,0.136909375,0.0513,0.18794783756213296,0.0285,0.103,0.13658333333333336,0.0865,0.14410849242377244,0.0432,0.13025,0.00034657354166666663,6.3e-07,0.0012735540756807049,0.0,3.94e-06
